car,weight,bhp,msrp,worth,mods,mpg,tires
frs,2750,200,25000,13000,0,30,250
wrx,3250,300,25000,20000,0,28,300
nc miata,2400,160,24000,16000,0,30,200
s2000,2800,240,30000,18000,0,20,250
cayman,3000,320,55000,40000,0,20,350
c7,3300,450,60000,45000,0,30,500
